lang,word,count
anal1239,the,1015
anal1239,and,575
anal1239,it,423
anal1239,he,401
anal1239,a,385
anal1239,to,303
anal1239,they,268
anal1239,was,246
anal1239,that,238
anal1239,is,233
anal1239,you,222
anal1239,as,219
anal1239,she,210
anal1239,said,207
anal1239,i,196
anal1239,of,188
anal1239,her,178
anal1239,so,152
anal1239,in,151
anal1239,we,128
anal1239,what,123
anal1239,one,122
anal1239,my,121
anal1239,this,116
anal1239,his,115
anal1239,not,112
anal1239,there,112
anal1239,will,108
anal1239,went,107
anal1239,him,102
anal1239,me,98
anal1239,like,94
anal1239,on,92
anal1239,then,90
anal1239,for,86
anal1239,when,85
anal1239,go,83
anal1239,up,80
anal1239,if,78
anal1239,were,74
anal1239,mother,73
anal1239,are,69
anal1239,did,68
anal1239,be,66
anal1239,with,65
anal1239,down,63
anal1239,king,63
anal1239,but,61
anal1239,came,60
anal1239,at,59
anal1239,come,57
anal1239,let,57
anal1239,do,56
anal1239,just,56
anal1239,have,55
anal1239,again,54
anal1239,back,54
anal1239,man,54
anal1239,people,54
anal1239,after,53
anal1239,them,53
anal1239,by,52
anal1239,from,51
anal1239,now,51
anal1239,time,49
anal1239,has,48
anal1239,out,48
anal1239,their,48
anal1239,girl,46
anal1239,place,46
anal1239,why,46
anal1239,all,45
anal1239,also,45
anal1239,tiger,45
anal1239,eat,43
anal1239,your,43
anal1239,how,42
anal1239,us,41
anal1239,don't,40
anal1239,let's,40
anal1239,our,40
anal1239,away,38
anal1239,would,37
anal1239,old,36
anal1239,other,36
anal1239,say,36
anal1239,take,35
anal1239,about,34
anal1239,very,34
anal1239,home,32
anal1239,oh,32
anal1239,told,32
anal1239,while,32
anal1239,son,31
anal1239,who,31
anal1239,give,30
anal1239,wife,30
anal1239,trap,29
anal1239,water,29
anal1239,called,28
anal1239,inside,28
anal1239,rice,28
anal1239,snake,28
anal1239,tree,28
anal1239,an,27
anal1239,child,27
anal1239,going,27
anal1239,asked,26
anal1239,boy,26
anal1239,brothers,26
anal1239,father,26
anal1239,no,26
anal1239,ok,26
anal1239,put,25
anal1239,see,25
anal1239,fish,24
anal1239,mom,24
anal1239,story,24
anal1239,took,24
anal1239,wild,24
anal1239,cat,23
anal1239,cut,23
anal1239,it's,23
anal1239,or,23
anal1239,birth,22
anal1239,eyes,22
anal1239,gave,22
anal1239,had,22
anal1239,house,22
anal1239,saying,22
anal1239,sister,22
anal1239,where,22
anal1239,woman,22
anal1239,daughter,21
anal1239,get,21
anal1239,know,21
anal1239,live,21
anal1239,married,21
anal1239,parents,21
anal1239,person,21
anal1239,witch,21
anal1239,cow,20
anal1239,kill,20
anal1239,look,20
anal1239,tell,20
anal1239,village,20
anal1239,forest,19
anal1239,got,19
anal1239,left,19
anal1239,more,19
anal1239,should,19
anal1239,that's,19
anal1239,way,19
anal1239,which,19
anal1239,died,18
anal1239,good,18
anal1239,lady,18
anal1239,leaf,18
anal1239,must,18
anal1239,sun,18
anal1239,too,18
anal1239,well,18
anal1239,became,17
anal1239,day,17
anal1239,eating,17
anal1239,head,17
anal1239,here,17
anal1239,into,17
anal1239,long,17
anal1239,thing,17
anal1239,young,17
anal1239,bad,16
anal1239,cried,16
anal1239,didn't,16
anal1239,even,16
anal1239,fields,16
anal1239,hey,16
anal1239,only,16
anal1239,ate,15
anal1239,dead,15
anal1239,field,15
anal1239,hill,15
anal1239,made,15
anal1239,yes,15
anal1239,am,14
anal1239,around,14
anal1239,big,14
anal1239,call,14
anal1239,carried,14
anal1239,cultivate,14
anal1239,does,14
anal1239,each,14
anal1239,reached,14
anal1239,ancient,13
anal1239,another,13
anal1239,beautiful,13
anal1239,both,13
anal1239,dress,13
anal1239,having,13
anal1239,i'm,13
anal1239,its,13
anal1239,kept,13
anal1239,looked,13
anal1239,many,13
anal1239,times,13
anal1239,together,13
anal1239,two,13
anal1239,bit,12
anal1239,bitter,12
anal1239,bones,12
anal1239,fruit,12
anal1239,killed,12
anal1239,love,12
anal1239,make,12
anal1239,name,12
anal1239,others,12
anal1239,sitting,12
anal1239,something,12
anal1239,these,12
anal1239,think,12
anal1239,trapped,12
anal1239,wise,12
anal1239,ask,11
anal1239,before,11
anal1239,bring,11
anal1239,clothes,11
anal1239,coming,11
anal1239,cultivated,11
anal1239,elephant,11
anal1239,fall,11
anal1239,fire,11
anal1239,follow,11
anal1239,food,11
anal1239,girls,11
anal1239,much,11
anal1239,night,11
anal1239,poor,11
anal1239,really,11
anal1239,right,11
anal1239,basket,10
anal1239,because,10
anal1239,boar,10
anal1239,broke,10
anal1239,can,10
anal1239,chased,10
anal1239,children,10
anal1239,could,10
anal1239,covered,10
anal1239,cultivation,10
anal1239,eh,10
anal1239,full,10
anal1239,happened,10
anal1239,i'll,10
anal1239,life,10
anal1239,lived,10
anal1239,morning,10
anal1239,mud,10
anal1239,nothing,10
anal1239,please,10
anal1239,release,10
anal1239,river,10
anal1239,salt,10
anal1239,shall,10
anal1239,since,10
anal1239,sky,10
anal1239,someone,10
anal1239,stay,10
anal1239,stayed,10
anal1239,black,9
anal1239,bottle,9
anal1239,british,9
anal1239,die,9
anal1239,dung,9
anal1239,during,9
anal1239,far,9
anal1239,fox,9
anal1239,friend,9
anal1239,heart,9
anal1239,hens,9
anal1239,keep,9
anal1239,kind,9
anal1239,knife,9
anal1239,looking,9
anal1239,lot,9
anal1239,loved,9
anal1239,lump,9
anal1239,means,9
anal1239,mother's,9
anal1239,nice,9
anal1239,over,9
anal1239,ran,9
anal1239,reach,9
anal1239,road,9
anal1239,same,9
anal1239,saw,9
anal1239,still,9
anal1239,things,9
anal1239,war,9
anal1239,what's,9
anal1239,youngest,9
anal1239,ago,8
anal1239,angry,8
anal1239,anything,8
anal1239,brought,8
anal1239,cannot,8
anal1239,caught,8
anal1239,comes,8
anal1239,cook,8
anal1239,couple,8
anal1239,crying,8
anal1239,deer,8
anal1239,ehm,8
anal1239,eye,8
anal1239,gold,8
anal1239,heard,8
anal1239,hen,8
anal1239,husband,8
anal1239,leave,8
anal1239,letter,8
anal1239,lying,8
anal1239,properly,8
anal1239,replied,8
anal1239,ring,8
anal1239,running,8
anal1239,search,8
anal1239,small,8
anal1239,spirit,8
anal1239,stone,8
anal1239,tailbone,8
anal1239,thread,8
anal1239,tired,8
anal1239,visible,8
anal1239,voice,8
anal1239,wind,8
anal1239,yam,8
anal1239,alive,7
anal1239,already,7
anal1239,anal,7
anal1239,arrived,7
anal1239,bag,7
anal1239,become,7
anal1239,been,7
anal1239,boys,7
anal1239,calf,7
anal1239,crab,7
anal1239,deep,7
anal1239,destroyed,7
anal1239,different,7
anal1239,dog,7
anal1239,ear,7
anal1239,elder,7
anal1239,etc,7
anal1239,fell,7
anal1239,giving,7
anal1239,goes,7
anal1239,happen,7
anal1239,last,7
anal1239,later,7
anal1239,laugh,7
anal1239,meǃ,7
anal1239,open,7
anal1239,own,7
anal1239,pigs,7
anal1239,plucked,7
anal1239,real,7
anal1239,rich,7
anal1239,sat,7
anal1239,searching,7
anal1239,seen,7
anal1239,sent,7
anal1239,some,7
anal1239,tail,7
anal1239,taking,7
anal1239,threw,7
anal1239,use,7
anal1239,weaving,7
anal1239,without,7
anal1239,ah,6
anal1239,ant,6
anal1239,baby,6
anal1239,bat,6
anal1239,being,6
anal1239,bird,6
anal1239,boling's,6
anal1239,burn,6
anal1239,case,6
anal1239,chicken,6
anal1239,cotton,6
anal1239,cover,6
anal1239,curry,6
anal1239,door,6
anal1239,early,6
anal1239,evil,6
anal1239,first,6
anal1239,four,6
anal1239,fruits,6
anal1239,given,6
anal1239,gmelina,6
anal1239,gourd,6
anal1239,grass,6
anal1239,ground,6
anal1239,grows,6
anal1239,hanging,6
anal1239,heaven,6
anal1239,herself,6
anal1239,hit,6
anal1239,horse,6
anal1239,human,6
anal1239,idea,6
anal1239,japan,6
anal1239,keeps,6
anal1239,lots,6
anal1239,manǃ,6
anal1239,men,6
anal1239,might,6
anal1239,money,6
anal1239,never,6
anal1239,next,6
anal1239,off,6
anal1239,ones,6
anal1239,rained,6
anal1239,says,6
anal1239,set,6
anal1239,shot,6
anal1239,step,6
anal1239,sword,6
anal1239,testicles,6
anal1239,thought,6
anal1239,three,6
anal1239,ti,6
anal1239,wasn't,6
anal1239,year,6
anal1239,years,6
anal1239,advices,5
anal1239,afraid,5
anal1239,always,5
anal1239,anāl,5
anal1239,angnal,5
anal1239,animals,5
anal1239,approach,5
anal1239,arrives,5
anal1239,bark,5
anal1239,bed,5
anal1239,behind,5
anal1239,blood,5
anal1239,brother,5
anal1239,camp,5
anal1239,carry,5
anal1239,change,5
anal1239,changed,5
anal1239,climbed,5
anal1239,cows,5
anal1239,crops,5
anal1239,cultivating,5
anal1239,cured,5
anal1239,dark,5
anal1239,doesn't,5
anal1239,dropped,5
anal1239,eagle,5
anal1239,earlier,5
anal1239,egg,5
anal1239,fallen,5
anal1239,family,5
anal1239,father's,5
anal1239,fetch,5
anal1239,fighting,5
anal1239,followed,5
anal1239,fowl,5
anal1239,friends,5
anal1239,friendǃ,5
anal1239,further,5
anal1239,god,5
anal1239,hands,5
anal1239,hear,5
anal1239,hold,5
anal1239,hut,5
anal1239,impure,5
anal1239,itǃ,5
anal1239,jo,5
anal1239,jungle,5
anal1239,land,5
anal1239,law,5
anal1239,little,5
anal1239,mean,5
anal1239,murmured,5
anal1239,normal,5
anal1239,once,5
anal1239,overnight,5
anal1239,pakan,5
anal1239,pension,5
anal1239,possible,5
anal1239,pot,5
anal1239,released,5
anal1239,returned,5
anal1239,rolling,5
anal1239,rope,5
anal1239,seeds,5
anal1239,send,5
anal1239,song,5
anal1239,sons,5
anal1239,sound,5
anal1239,staying,5
anal1239,stream,5
anal1239,swallowed,5
anal1239,taste,5
anal1239,till,5
anal1239,today,5
anal1239,top,5
anal1239,traps,5
anal1239,under,5
