concept_id,concept,lexicalization,frequency,aoa
2,dust,0.981183,124.20871,5.06
3,brave,0.920987,121.82568,6
7,gather,0.953479,400.63766,5.61
8,curse,0.827182,117.07703,7.47
9,announce,0.83327,89.37532,9.48
10,firewood,0.985767,290.26215,6.61
11,darkness,0.978983,107.65574,4.83
21,taste,0.884699,193.35714,4.26
23,rye,0.36555,107.39491,9.26
24,pray,0.820591,205.08146,5.79
27,air,0.78810500000000006,153.37768,3.94
31,pan,0.795684,133.53022,4.72
43,lead,0.908666,174.07757,6.76
49,refuse,0.71162,161.6955,9.33
56,bad luck,0.713066,99.45396,10.53
66,kneel,0.959633,93.13464,6.95
72,claw,0.889973,108.16825,4.7
73,beak,0.953106,107.70789,5.42
82,anger,0.989945,116.86858,6
98,all,0.983814,4839.44335,4.196887
112,turtle,0.895728,283.19366,4.17
113,shore,0.948567,211.51855,6.925079
117,imitate,0.877582,93.47934,9.2
119,dive,0.849052,96.23178,7.21
122,cart,0.846593,182.92919,5.22
123,forehead,0.988985,104.58437,5.58
126,sweat,0.992179,106.96983,7.26
127,extinguish,0.943375,95.74647,8.95
129,choke,0.907925,91.47426,6.11
133,weave,0.956403,111.55583,9.89
134,fault,0.769765,129.53429,6.94
138,bathe,0.98497,137.26293,5
141,burn,0.990397,295.36244,4.72
148,itch,0.956199,100.76483,5.05
154,udder,0.7945,92.39712,7.29
155,chop,0.931584,165.71886,6.74
166,mainland,0.582186,92.5203,11.63
174,proud,0.835085,108.79195,5.44
178,ripe,0.978437,194.26919,7.11
180,call by name,0.917082,1138.47234,4.74
183,bake,0.873001,150.31505,5.5
185,fireplace,0.748127,112.5833,7.37
191,nut,0.640218,166.51099,5.21
192,corner,0.91131,135.61801,5.21
193,shallow,0.933707,93.19313,7
194,family,0.868091,1010.71718,3.38
195,mat,0.797745,186.76523,4.62
199,famine,0.813541,124.08123,10
204,again,0.978433,2582.4957,5.78478
205,trough,0.792589,96.33175,7
212,field,0.942861,651.42906,6.1
213,fin,0.781036,92.12616,7.3
214,stretch,0.93818,99.51308,5.47
224,mortar,0.865276,107.78102,11.9
228,carve,0.725765,98.61779,6.35
230,sweep,0.988985,119.4483,4.2
234,paddle,0.650669,215.09579,6.58
236,stepmother,0.868059,126.8541,6.33
239,flower,0.988985,332.90339,3.11
244,left,0.988985,1452.62832,5.57164
245,broom,0.959851,110.57778,5.5
249,fog,0.958086,92.71543,6.21
256,food,0.983884,1398.74315,3.25
257,worship,0.723285,118.46056,7
262,he or she or it,0.959411,63212.777,3.568124
268,dribble,0.814665,90.76323,6.11
270,jug,0.874869,109.87899,5.83
273,dough,0.70629,97.43265,6.63
275,peel,0.969058,131.01099,6.05
277,spindle,0.773022,103.60538,10.72
281,post,0.936827,137.9863,8.11
284,hoe,0.764109,164.868,8.72
288,forge,0.52992,89.50124,9.8
