glottocode,word,sum_count,same_meaning,glottolog_langname
stan1295,die,1484955,FALSE,German
stan1290,des,340406,FALSE,French
stan1290,est,242087,TRUE,French
stan1295,von,234872,FALSE,German
stan1295,den,223970,FALSE,German
stan1288,con,194866,FALSE,Spanish
stan1290,par,174473,FALSE,French
stan1290,pour,171327,FALSE,French
stan1288,una,148729,FALSE,Spanish
lati1261,est,135352,FALSE,Latin
stan1295,und,133058,FALSE,German
stan1290,son,131880,FALSE,French
stan1295,man,106906,FALSE,German
stan1295,des,101189,FALSE,German
stan1295,was,98816,FALSE,German
stan1288,para,98416,FALSE,Spanish
dutc1256,van,90239,FALSE,Dutch
stan1295,put,86017,FALSE,German
ital1282,che,85096,FALSE,Italian
stan1290,part,75843,TRUE,French
stan1295,hat,74206,FALSE,German
stan1290,are,73429,TRUE,French
stan1290,man,70680,FALSE,French
stan1290,put,69881,FALSE,French
ital1282,una,65951,FALSE,Italian
lati1261,are,61514,FALSE,Latin
mand1415,take,60959,TRUE,Mandarin Chinese
stan1290,point,60855,TRUE,French
mand1415,man,60224,FALSE,Mandarin Chinese
stan1288,sin,58220,FALSE,Spanish
stan1290,has,57178,FALSE,French
stan1295,will,55009,FALSE,German
nucl1643,are,54366,FALSE,Japanese
nucl1643,make,54118,FALSE,Japanese
stan1290,place,54081,TRUE,French
port1283,com,53776,FALSE,Portuguese
stan1290,action,53021,TRUE,French
mand1415,good,51862,FALSE,Mandarin Chinese
mand1415,can,50088,FALSE,Mandarin Chinese
stan1290,coup,49874,TRUE,French
stan1295,like,49464,FALSE,German
ital1282,con,48787,FALSE,Italian
afri1274,die,48479,FALSE,Afrikaans
stan1290,air,46876,TRUE,French
stan1295,ing,46533,FALSE,German
stan1290,like,46299,TRUE,French
dutc1256,met,46255,FALSE,Dutch
stan1290,grand,45966,FALSE,French
scot1243,see,44746,TRUE,Scots
stan1295,bet,44652,FALSE,German
nucl1643,man,44411,FALSE,Japanese
nucl1643,take,44406,FALSE,Japanese
stan1290,set,44386,TRUE,French
stan1295,war,44119,FALSE,German
stan1295,gut,44002,FALSE,German
stan1290,temps,42935,FALSE,French
mand1415,ing,42120,FALSE,Mandarin Chinese
mand1415,like,41650,TRUE,Mandarin Chinese
stan1290,chose,41495,FALSE,French
stan1290,long,40720,TRUE,French
mand1415,work,40626,TRUE,Mandarin Chinese
mand1415,give,40317,TRUE,Mandarin Chinese
stan1295,fall,39222,TRUE,German
stan1288,ser,38417,FALSE,Spanish
stan1290,lit,38192,FALSE,French
lati1261,pro,38115,FALSE,Latin
stan1295,form,37711,TRUE,German
lati1261,place,37638,FALSE,Latin
stan1288,are,37403,FALSE,Spanish
port1283,para,35725,FALSE,Portuguese
stan1290,fin,35672,FALSE,French
mand1415,get,35529,FALSE,Mandarin Chinese
viet1252,con,34778,FALSE,Vietnamese
stan1290,main,34414,FALSE,French
ital1282,fare,34392,FALSE,Italian
stan1295,stand,34303,TRUE,German
lati1261,time,34275,FALSE,Latin
stan1290,mon,34243,FALSE,French
stan1288,place,33693,TRUE,Spanish
stan1290,ship,33375,TRUE,French
stan1288,man,32073,TRUE,Spanish
stan1288,put,31952,FALSE,Spanish
stan1290,fort,31496,TRUE,French
stan1290,force,31319,TRUE,French
stan1290,table,31305,TRUE,French
stan1288,persona,30967,FALSE,Spanish
stan1290,water,30593,FALSE,French
mand1415,long,30457,FALSE,Mandarin Chinese
mand1415,chi,30446,FALSE,Mandarin Chinese
stan1288,like,30241,TRUE,Spanish
stan1290,house,30050,TRUE,French
stan1290,passer,30037,TRUE,French
stan1290,look,29983,TRUE,French
stan1290,dire,29929,FALSE,French
stan1290,face,29857,TRUE,French
stan1288,time,29530,FALSE,Spanish
mand1415,form,29158,TRUE,Mandarin Chinese
stan1295,end,29050,FALSE,German
stan1290,ing,28421,FALSE,French
stan1290,vie,28412,FALSE,French
dutc1256,ing,28166,FALSE,Dutch
stan1290,let,28111,FALSE,French
nucl1643,come,27807,FALSE,Japanese
lati1261,hoc,27711,FALSE,Latin
lati1261,have,27611,FALSE,Latin
stan1288,was,27319,FALSE,Spanish
stan1295,bring,27305,TRUE,German
stan1295,order,27175,TRUE,German
mand1415,mind,27049,FALSE,Mandarin Chinese
wels1247,pen,26719,FALSE,Welsh
stan1290,hand,26484,FALSE,French
stan1290,art,26193,TRUE,French
stan1290,ment,26180,FALSE,French
mand1415,house,26112,TRUE,Mandarin Chinese
mand1415,fit,25934,TRUE,Mandarin Chinese
lati1261,sum,25711,FALSE,Latin
stan1290,vent,25594,FALSE,French
mand1415,high,25451,TRUE,Mandarin Chinese
stan1290,train,25421,TRUE,French
mand1415,set,25419,TRUE,Mandarin Chinese
mand1415,part,25295,TRUE,Mandarin Chinese
stan1290,service,25145,TRUE,French
stan1290,machine,25137,TRUE,French
stan1290,french,24940,FALSE,French
dutc1256,den,24885,FALSE,Dutch
stan1288,has,24810,FALSE,Spanish
stan1290,full,24778,TRUE,French
stan1290,life,24768,FALSE,French
stan1290,nature,24375,TRUE,French
viet1252,hay,24360,FALSE,Vietnamese
mand1415,keep,24091,TRUE,Mandarin Chinese
stan1290,light,24029,TRUE,French
